epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,827.506,3.08724,3.59787,3.4443,0.46085,0.50108,0.50042,0.31188,3.97338,5.47681,4.13662,0.0669127,0.000233244,0.000233244
2,1625.74,2.96432,3.16125,3.3311,0.77772,0.49277,0.61248,0.40937,3.66436,4.86816,3.85854,0.0338126,0.000466498,0.000466498
3,2416.7,2.79463,2.85814,3.20185,0.74817,0.58874,0.63794,0.44282,3.53174,4.45102,3.71024,0.000712232,0.000699436,0.000699436
4,3204.31,2.64147,2.60929,3.0704,0.76509,0.6527,0.70417,0.51898,3.37165,4.28437,3.54168,0.000698932,0.000698932,0.000698932
5,3991.87,2.54054,2.43254,2.9863,0.8055,0.6283,0.69693,0.50657,3.2764,4.05125,3.48107,0.000698102,0.000698102,0.000698102
6,4779.47,2.46514,2.3177,2.93119,0.7516,0.70016,0.72138,0.52987,3.20958,3.98825,3.4443,0.000697036,0.000697036,0.000697036
7,5567.56,2.41783,2.21175,2.88514,0.82861,0.6593,0.7551,0.58286,3.16919,3.80948,3.37394,0.000695734,0.000695734,0.000695734
8,6369.38,2.36435,2.14789,2.85017,0.79545,0.70546,0.77192,0.60144,3.21653,3.7217,3.39274,0.000694198,0.000694198,0.000694198
9,7257.07,2.31856,2.08883,2.81527,0.83689,0.72356,0.7975,0.62312,3.12976,3.6801,3.32136,0.000692428,0.000692428,0.000692428
10,8085.59,2.27783,2.02233,2.77622,0.8762,0.70506,0.80278,0.63324,3.15241,3.57919,3.32319,0.000690426,0.000690426,0.000690426
11,8894.78,2.25097,1.96591,2.75403,0.83185,0.74764,0.81638,0.64505,3.09726,3.45171,3.28209,0.000688193,0.000688193,0.000688193
12,9703.28,2.20954,1.90373,2.71425,0.84682,0.75535,0.81343,0.64738,3.09626,3.45384,3.27071,0.000685731,0.000685731,0.000685731
13,10512.2,2.18487,1.87527,2.70635,0.83648,0.75597,0.82199,0.65444,3.02952,3.3963,3.22217,0.000683041,0.000683041,0.000683041
14,11322.3,2.15254,1.82725,2.67404,0.84635,0.74785,0.82629,0.65831,3.00903,3.36118,3.1897,0.000680125,0.000680125,0.000680125
15,12132,2.12871,1.81252,2.65753,0.83989,0.76173,0.83002,0.67065,2.98787,3.28702,3.18534,0.000676986,0.000676986,0.000676986
16,12944.2,2.11904,1.76458,2.64668,0.83717,0.77051,0.8359,0.67128,2.97711,3.27094,3.17913,0.000673624,0.000673624,0.000673624
17,13754.2,2.07331,1.72854,2.61873,0.84287,0.77483,0.84114,0.67808,2.9566,3.21842,3.16485,0.000670044,0.000670044,0.000670044
18,14565.9,2.05149,1.70303,2.60508,0.84734,0.7781,0.84323,0.67935,2.96319,3.17142,3.16141,0.000666246,0.000666246,0.000666246
19,15376.6,2.03611,1.67548,2.58726,0.87143,0.75386,0.84054,0.67929,2.94467,3.15915,3.15457,0.000662234,0.000662234,0.000662234
20,16194.5,2.0141,1.62678,2.56898,0.84369,0.78955,0.84247,0.68128,2.92634,3.12785,3.14475,0.00065801,0.00065801,0.00065801
21,17021.5,2.00497,1.62023,2.56154,0.85546,0.7776,0.83976,0.6831,2.92276,3.11227,3.13822,0.000653578,0.000653578,0.000653578
22,17849.8,1.9744,1.58823,2.53985,0.86648,0.77025,0.84366,0.68527,2.92583,3.08751,3.13303,0.00064894,0.00064894,0.00064894
23,18714.6,1.95378,1.5495,2.52038,0.86558,0.77616,0.8465,0.68878,2.92325,3.06993,3.13152,0.000644099,0.000644099,0.000644099
24,19545.6,1.91735,1.54503,2.51356,0.87686,0.76498,0.84847,0.69217,2.91602,3.05769,3.12655,0.00063906,0.00063906,0.00063906
25,20377.4,1.91657,1.51526,2.49499,0.85174,0.7862,0.85,0.69425,2.90519,3.04852,3.12443,0.000633824,0.000633824,0.000633824
26,21183.6,1.89384,1.48689,2.47866,0.85903,0.78553,0.85255,0.69659,2.90471,3.02978,3.12275,0.000628397,0.000628397,0.000628397
27,21969.5,1.88286,1.48718,2.48228,0.86224,0.78188,0.85158,0.69616,2.89827,3.02031,3.1192,0.000622781,0.000622781,0.000622781
28,22756.5,1.86888,1.47893,2.4743,0.86993,0.77878,0.8537,0.69878,2.89279,3.01017,3.11768,0.000616981,0.000616981,0.000616981
